Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,OS compliant Postcode,Admin_county_code,Admin_district_code,Admin_ward_code
125,Ladbroke Crescent & Basement,1000000,House,2125,2,2,2,131 Ladbroke Grove,London,W11 1PS,W11 1PS,,Kensington and Chelsea London Boro,Notting Dale Ward
126,Barts Square,1635000,New development,903,2,2,2, City Of London,London,EC1A 9DS,EC1A9DS,,City and County of the City of London,Farringdon Within Ward
127,Elizabeth Place,625000,Flat / Apartment,902,2,2,2, Esher,Surrey,KT10 8AP,KT108AP,Surrey County,Elmbridge District (B),Esher Ward
128,Gleneldon Road,1850000,House,3753,6,6,6,,London,SW16 2BZ,SW162BZ,,Lambeth London Boro,Streatham Wells Ward
129,Windsor Court,2400000,Flat / Apartment,1736,4,4,4, Bayswater,London,W2 4SN,NW2 4SN,,Brent London Boro,Mapesbury Ward
130,Southbank Place,1200000,New development,590,1,1,1, South Bank,London,SE1 7NJ,SE1 7NJ,,Lambeth London Boro,Bishop's Ward
131,The oTTo,785000,New development,1173,2,2,2, The Otto Buildings,Downs Road,E5 8DS,E5  8DS,,Hackney London Boro,Hackney Downs Ward
132,Haldane Road,1250000,House,1298,2,2,2,,London,SW6 7EU,SW6 7EU,,Hammersmith and Fulham London Boro,Fulham Broadway Ward
133,Chipstead Street,2300000,House,1912,3,3,3, Fulham,London,SW6 3SS,SW6 3SS,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
134,Ruxley Crescent,1800000,New development,3877,4,4,4, Esher,Surrey,KT10 0TX,KT100TX,Surrey County,Elmbridge District (B),Claygate Ward
135,Sydney House,1300000,Flat / Apartment,1465,3,3,3,Woodstock Road,London,W4 1DP,NW4 1DP,,Barnet London Boro,Hendon Ward
136,Waldemar Avenue,1750000,House,1580,4,4,4,Fulham,London,SW6 5NA,SW6 5NA,,Hammersmith and Fulham London Boro,Munster Ward
137,Newstead Way,1495000,House,2300,4,4,4,,London,SW19 5HR,SW195HR,,Merton London Boro,Village Ward
138,Crescent Road,1855000,House,2917,5,5,5,Kingston upon Thames,Surrey,KT2 7RD,KT2 7RD,,Kingston upon Thames London Boro,Coombe Hill Ward
139,Melody Road,1625000,House,1953,4,4,4,,London,SW18 2QF,SW182QF,,Wandsworth London Boro,Wandsworth Common Ward
140,Hasker Street,3150000,House,1449,3,3,3,,London,SW3 2LE,SW3 2LE,,Kensington and Chelsea London Boro,Brompton & Hans Town Ward
141,Spring Terrace,5250000,House,4745,7,7,7,Richmond,Surrey,TW9 1LW,TW9 1LW,,Richmond upon Thames London Boro,South Richmond Ward
142,Montague Road,6000000,House,4798,6,6,6,Richmond,Surrey,TW10 6QW,TW106QW,,Richmond upon Thames London Boro,South Richmond Ward
143,Fairfax Mews,1395000,House,1902,5,5,5,Putney,London,SW15 6FF,SW156FF,,Wandsworth London Boro,West Putney Ward
144,Fairacres,1385000,Flat / Apartment,2056,3,3,3, Putney,London,SW15 5LX,SW155LX,,Wandsworth London Boro,Roehampton and Putney Heath Ward
145,Clapham Common South Side,800000,Flat / Apartment,922,2,2,2,,London,SW4 9DX,SW4 9DX,,Lambeth London Boro,Clapham Common Ward
146,Ormond Yard,3695000,House,2316,4,4,4,St James's,London,SW1Y 6JT,SW1Y6JT,,City of Westminster London Boro,St. James's Ward
147,Cadogan Square,2200000,Flat / Apartment,1195,2,2,2,,London,SW1X 0JL,SW1X0JL,,Kensington and Chelsea London Boro,Brompton & Hans Town Ward
148,Cadogan Square,1175000,Flat / Apartment,687,2,2,2,,London,SW1X 0JL,SW1X0JL,,Kensington and Chelsea London Boro,Brompton & Hans Town Ward
149,Aubrey Walk,9500000,House,4815,5,5,5,,London,W8 7JG,W8  7JG,,Kensington and Chelsea London Boro,Campden Ward
150,Oakwood Court,3100000,Flat / Apartment,2470,4,4,4,Holland Park,London,W14 8JS,W14 8JS,,Kensington and Chelsea London Boro,Holland Ward
151,Barnsbury Park,5500000,House,3674,4,4,4,Islington,London,N1 1HQ,BN1 1HQ,,The City of Brighton and Hove (B),Regency Ward
152,Fieldsway House,925000,Flat / Apartment,1012,3,3,3, Highbury,London,N5 1QA,EN5 1QA,,Barnet London Boro,High Barnet Ward
153,Long & Waterson Apartments,550000,Penthouse,414,1,1,1, Hackney,London,E2 8HN,EN2 8HN,,Enfield London Boro,Highlands Ward
154,Mare Street,260000,Studio,381,0,0,0,Hackney,London,E8 3RH,E8  3RH,,Hackney London Boro,London Fields Ward
155,Reliance Wharf,550000,Flat / Apartment,547,1,1,1,Hertford Road,London,N1 5ET,N1  5ET,,Hackney London Boro,De Beauvoir Ward
156,Gayton Road,2400000,House,2202,5,5,5,Hampstead,London,NW3 1TU,NW3 1TU,,Camden London Boro,Hampstead Town Ward
157,Ram Quarter,580000,New development,460,1,1,1, Wandsworth,London,SW18 1TH,SW181TH,,Wandsworth London Boro,Fairfield Ward
158,Grimston Road,2300000,House,2785,5,5,5,Fulham,London,SW6 3QR,SW6 3QR,,Hammersmith and Fulham London Boro,Parsons Green and Walham Ward
159,Balham Grove,1200000,House,1270,3,3,3,,London,SW12 8BE,SW128BE,,Wandsworth London Boro,Balham Ward
160,Fernside Road,1500000,House,1934,5,5,5,,London,SW12 8LH,SW128LH,,Wandsworth London Boro,Nightingale Ward
161,Walsingham Place,2250000,House,2605,5,5,5,,London,SW4 9RR,SW4 9RR,,Wandsworth London Boro,Balham Ward
162,Englewood Road,1500000,House,2047,4,4,4,,London,SW12 9NZ,SW129NZ,,Lambeth London Boro,Clapham Common Ward
163,Streathbourne Road,2150000,House,2850,5,5,5,,London,SW17 8RA,SW178RA,,Wandsworth London Boro,Bedford Ward
164,Rowfant Road,1595000,House,2555,6,6,6,,London,SW17 7AP,SW177AP,,Wandsworth London Boro,Nightingale Ward
165,Tantallon Road,1565000,House,2088,5,5,5,,London,SW12 8DH,SW128DH,,Wandsworth London Boro,Nightingale Ward
166,Honeybrook Road,1500000,House,2173,5,5,5,,London,SW12 0DL,SW120DL,,Lambeth London Boro,Thornton Ward
167,Fenn Mansions,400000,Flat / Apartment,774,2,2,2,20 Love Lane,London,SE18 6GY,SE186GY,,Greenwich London Boro,Woolwich Common Ward
168,New Providence Wharf,415000,Flat / Apartment,525,1,1,1, Canary Wharf,London,E14 9PW,E14 9PW,,Tower Hamlets London Boro,Blackwall & Cubitt Town Ward
169,Enclave Court,1395000,Penthouse,1230,2,2,2,2 Dallington Street,London,EC1V 0BH,EC1V0BH,,Islington London Boro,Bunhill Ward
170,Fairfax Road,2800000,House,2734,6,6,6, Chiswick,London,W4 1EN,NW4 1EN,,Barnet London Boro,Finchley Church End Ward
171,Redcliffe Gardens,1195000,Flat / Apartment,872,2,2,2,Chelsea,London,SW10 9HA,S10 9HA,,Sheffield District (B),Crookes & Crosspool Ward
172,Drayton Court,2750000,Flat / Apartment,1839,4,4,4,Drayton Gardens,London,SW10 9RH,SW109RH,,Kensington and Chelsea London Boro,Redcliffe Ward
